"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","DP1_C0","DP1_C1","DP1_C2","DP1_C3","DP1_C4","DP1_C5","DP1_C6","DP1_C7","DP1_C8","DP1_C9","DP1_C10","DP1_C11","DP1_C12","DP1_C13","DP1_C14","DP1_C15","DP1_C16","DP1_C17","DP1_C18","DP1_C19","DP1_C20","DP1_C21","DP1_C22","DP1_C23","DP1_C24","DP1_C25","DP1_C26","DP1_C27","DP1_C28","DP1_C29","DP1_C30","DP1_C31","DP1_C32","DP1_E1","DP1_C33","DP1_C34","DP1_C35","DP1_C36","DP1_C37","DP1_C38","DP1_C39","DP1_C40","DP1_C41","DP1_C42","DP1_C43","DP1_C44","DP1_C45","DP1_C46","DP1_C47","DP1_C48","DP1_C49","DP1_C50","DP1_C51","DP1_C52","DP1_C53","DP1_C54","DP1_C55","DP1_C56","DP1_C57","DP1_C58","DP1_C59","DP1_C60","DP1_C61","DP1_C62","DP1_C63","DP1_C64","DP1_C65","DP1_C66","DP1_C67","DP1_C68","DP1_C69","DP1_C70","DP1_C71","DP1_C72","DP1_C73","DP1_C74","DP1_C75","DP1_C76","DP1_C77","DP1_C78","DP1_C79","DP1_C80","DP1_C81","DP1_C82","DP1_C83","DP1_C84","DP1_C85","DP1_C86","DP1_C87","DP1_C88","DP1_C89","DP1_C90","DP1_C91","DP1_C92","DP1_C93","DP1_C94","DP1_C95","DP1_C96","DP1_C97","DP1_C98","DP1_C99","DP1_E2","DP1_C100","DP1_E3","DP1_C101","DP1_C102","DP1_C103","DP1_C104","DP1_C105","DP1_C106","DP1_C107","DP1_E4","DP1_C108","DP1_E5",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Number!!Total population","Percent!!Total population","Number!!Total population!!SEX AND AGE!!Male","Percent!!Total population!!SEX AND AGE!!Male","Number!!Total population!!SEX AND AGE!!Female","Percent!!Total population!!SEX AND AGE!!Female","Number!!Total population!!SEX AND AGE!!Under 5 years","Percent!!Total population!!SEX AND AGE!!Under 5 years","Number!!Total population!!SEX AND AGE!!5 to 9 years","Percent!!Total population!!SEX AND AGE!!5 to 9 years","Number!!Total population!!SEX AND AGE!!10 to 14 years","Percent!!Total population!!SEX AND AGE!!10 to 14 years","Number!!Total population!!SEX AND AGE!!15 to 19 years","Percent!!Total population!!SEX AND AGE!!15 to 19 years","Number!!Total population!!SEX AND AGE!!20 to 24 years","Percent!!Total population!!SEX AND AGE!!20 to 24 years","Number!!Total population!!SEX AND AGE!!25 to 34 years","Percent!!Total population!!SEX AND AGE!!25 to 34 years","Number!!Total population!!SEX AND AGE!!35 to 44 years","Percent!!Total population!!SEX AND AGE!!35 to 44 years","Number!!Total population!!SEX AND AGE!!45 to 54 years","Percent!!Total population!!SEX AND AGE!!45 to 54 years","Number!!Total population!!SEX AND AGE!!55 to 59 years","Percent!!Total population!!SEX AND AGE!!55 to 59 years","Number!!Total population!!SEX AND AGE!!60 to 64 years","Percent!!Total population!!SEX AND AGE!!60 to 64 years","Number!!Total population!!SEX AND AGE!!65 to 74 years","Percent!!Total population!!SEX AND AGE!!65 to 74 years","Number!!Total population!!SEX AND AGE!!75 to 84 years","Percent!!Total population!!SEX AND AGE!!75 to 84 years","Number!!Total population!!SEX AND AGE!!85 years and over","Percent!!Total population!!SEX AND AGE!!85 years and over","Number!!Total population!!SEX AND AGE!!Median age (years)","Percent!!Total population!!SEX AND AGE!!Median age (years)","Number!!Total population!!SEX AND AGE!!18 years and over","Percent!!Total population!!SEX AND AGE!!18 years and over","Number!!Total population!!SEX AND AGE!!18 years and over!!Male","Percent!!Total population!!SEX AND AGE!!18 years and over!!Male","Number!!Total population!!SEX AND AGE!!18 years and over!!Female","Percent!!Total population!!SEX AND AGE!!18 years and over!!Female","Number!!Total population!!SEX AND AGE!!21 years and over","Percent!!Total population!!SEX AND AGE!!21 years and over","Number!!Total population!!SEX AND AGE!!62 years and over","Percent!!Total population!!SEX AND AGE!!62 years and over","Number!!Total population!!SEX AND AGE!!65 years and over","Percent!!Total population!!SEX AND AGE!!65 years and over","Number!!Total population!!SEX AND AGE!!65 years and over!!Male","Percent!!Total population!!SEX AND AGE!!65 years and over!!Male","Number!!Total population!!SEX AND AGE!!65 years and over!!Female","Percent!!Total population!!SEX AND AGE!!65 years and over!!Female","Number!!RELATIONSHIP!!Population","Percent!!RELATIONSHIP!!Population","Number!!RELATIONSHIP!!Population!!In households","Percent!!RELATIONSHIP!!Population!!In households","Number!!RELATIONSHIP!!Population!!In households!!Householder","Percent!!RELATIONSHIP!!Population!!In households!!Householder","Number!!RELATIONSHIP!!Population!!In households!!Spouse","Percent!!RELATIONSHIP!!Population!!In households!!Spouse","Number!!RELATIONSHIP!!Population!!In households!!Child","Percent!!RELATIONSHIP!!Population!!In households!!Child","Number!!RELATIONSHIP!!Population!!In households!!Child!!Own child under 18 years","Percent!!RELATIONSHIP!!Population!!In households!!Child!!Own child under 18 years","Number!!RELATIONSHIP!!Population!!In households!!Other relatives","Percent!!RELATIONSHIP!!Population!!In households!!Other relatives","Number!!RELATIONSHIP!!Population!!In households!!Other relatives!!Under 18 years","Percent!!RELATIONSHIP!!Population!!In households!!Other relatives!!Under 18 years","Number!!RELATIONSHIP!!Population!!In households!!Nonrelatives","Percent!!RELATIONSHIP!!Population!!In households!!Nonrelatives","Number!!RELATIONSHIP!!Population!!In households!!Nonrelatives!!Unmarried partner","Percent!!RELATIONSHIP!!Population!!In households!!Nonrelatives!!Unmarried partner","Number!!RELATIONSHIP!!Population!!In group quarters","Percent!!RELATIONSHIP!!Population!!In group quarters","Number!!RELATIONSHIP!!Population!!In group quarters!!Institutionalized population","Percent!!RELATIONSHIP!!Population!!In group quarters!!Institutionalized population","Number!!RELATIONSHIP!!Population!!In group quarters!!Noninstitutionalized population","Percent!!RELATIONSHIP!!Population!!In group quarters!!Noninstitutionalized population","Number!!HOUSEHOLDS BY TYPE!!Households","Percent!!HOUSEHOLDS BY TYPE!!Households","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!With own children under 18 years","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!With own children under 18 years","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Married-couple family","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Married-couple family","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Married-couple family!!With own children under 18 years","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Married-couple family!!With own children under 18 years","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Female householder, no husband present","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Female householder, no husband present","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Female householder, no husband present!!With own children under 18 years","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Female householder, no husband present!!With own children under 18 years","Number!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households","Percent!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households","Number!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone","Percent!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone","Number!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone!!Householder 65 years and over","Percent!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone!!Householder 65 years and over","Number!!HOUSEHOLDS BY TYPE!!Households!!Households with individuals under 18 years","Percent!!HOUSEHOLDS BY TYPE!!Households!!Households with individuals under 18 years","Number!!HOUSEHOLDS BY TYPE!!Households!!Households with individuals 65 years and over","Percent!!HOUSEHOLDS BY TYPE!!Households!!Households with individuals 65 years and over","Number!!HOUSEHOLDS BY TYPE!!Households!!Average household size","Percent!!HOUSEHOLDS BY TYPE!!Households!!Average household size","Number!!HOUSEHOLDS BY TYPE!!Households!!Average family size","Percent!!HOUSEHOLDS BY TYPE!!Households!!Average family size","Number!!HOUSING TENURE!!Occupied housing units","Percent!!HOUSING TENURE!!Occupied housing units","Number!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units","Percent!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units","Number!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units","Percent!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units","Number!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","Percent!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","Number!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","Percent!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit",
"1400000US17031080600","Census Tract 806, Cook County, Illinois","001","Total population","183","100.0","99","54.1","84","45.9","13","7.1","9","4.9","6","3.3","9","4.9","17","9.3","54","29.5","32","17.5","18","9.8","6","3.3","8","4.4","11","6.0","0","0.0","0","0.0","30.6","(X)","151","82.5","81","44.3","70","38.3","146","79.8","17","9.3","11","6.0","2","1.1","9","4.9","183","100.0","183","100.0","76","41.5","23","12.6","40","21.9","27","14.8","17","9.3","5","2.7","27","14.8","12","6.6","0","0.0","0","0.0","0","0.0","76","100.0","37","48.7","18","23.7","23","30.3","10","13.2","12","15.8","6","7.9","39","51.3","13","17.1","1","1.3","20","26.3","9","11.8","2.41","(X)","3.16","(X)","76","100.0","27","35.5","49","64.5","2.67","(X)","2.27","(X)",
"1400000US17031150100","Census Tract 1501, Cook County, Illinois","001","Total population","277","100.0","139","50.2","138","49.8","23","8.3","26","9.4","16","5.8","12","4.3","23","8.3","47","17.0","43","15.5","41","14.8","16","5.8","12","4.3","9","3.2","8","2.9","1","0.4","33.3","(X)","205","74.0","103","37.2","102","36.8","197","71.1","23","8.3","18","6.5","6","2.2","12","4.3","277","100.0","277","100.0","94","33.9","57","20.6","87","31.4","68","24.5","16","5.8","4","1.4","23","8.3","7","2.5","0","0.0","0","0.0","0","0.0","94","100.0","63","67.0","39","41.5","57","60.6","38","40.4","4","4.3","1","1.1","31","33.0","19","20.2","5","5.3","42","44.7","14","14.9","2.95","(X)","3.54","(X)","94","100.0","43","45.7","51","54.3","3.12","(X)","2.80","(X)",
"1400000US17031241700","Census Tract 2417, Cook County, Illinois","001","Total population","349","100.0","213","61.0","136","39.0","8","2.3","13","3.7","10","2.9","14","4.0","41","11.7","111","31.8","65","18.6","38","10.9","10","2.9","14","4.0","8","2.3","12","3.4","5","1.4","32.5","(X)","310","88.8","187","53.6","123","35.2","299","85.7","28","8.0","25","7.2","11","3.2","14","4.0","349","100.0","301","86.2","150","43.0","35","10.0","52","14.9","29","8.3","25","7.2","4","1.1","39","11.2","12","3.4","48","13.8","0","0.0","48","13.8","150","100.0","61","40.7","18","12.0","35","23.3","12","8.0","11","7.3","4","2.7","89","59.3","60","40.0","9","6.0","21","14.0","20","13.3","2.01","(X)","2.84","(X)","150","100.0","34","22.7","116","77.3","2.12","(X)","1.97","(X)",
"1400000US17031243600","Census Tract 2436, Cook County, Illinois","001","Total population","330","100.0","197","59.7","133","40.3","12","3.6","3","0.9","3","0.9","3","0.9","17","5.2","129","39.1","89","27.0","48","14.5","9","2.7","5","1.5","10","3.0","1","0.3","1","0.3","34.7","(X)","311","94.2","184","55.8","127","38.5","307","93.0","15","4.5","12","3.6","5","1.5","7","2.1","330","100.0","330","100.0","212","64.2","45","13.6","25","7.6","15","4.5","8","2.4","2","0.6","40","12.1","13","3.9","0","0.0","0","0.0","0","0.0","212","100.0","55","25.9","13","6.1","45","21.2","12","5.7","5","2.4","1","0.5","157","74.1","126","59.4","6","2.8","15","7.1","11","5.2","1.56","(X)","2.42","(X)","212","100.0","149","70.3","63","29.7","1.53","(X)","1.62","(X)",
"1400000US17031270600","Census Tract 2706, Cook County, Illinois","001","Total population","690","100.0","316","45.8","374","54.2","52","7.5","86","12.5","88","12.8","88","12.8","45","6.5","81","11.7","94","13.6","63","9.1","20","2.9","20","2.9","25","3.6","24","3.5","4","0.6","22.6","(X)","406","58.8","166","24.1","240","34.8","362","52.5","66","9.6","53","7.7","20","2.9","33","4.8","690","100.0","690","100.0","220","31.9","44","6.4","291","42.2","212","30.7","93","13.5","60","8.7","42","6.1","10","1.4","0","0.0","0","0.0","0","0.0","220","100.0","168","76.4","94","42.7","44","20.0","13","5.9","109","49.5","78","35.5","52","23.6","40","18.2","14","6.4","113","51.4","41","18.6","3.14","(X)","3.55","(X)","220","100.0","28","12.7","192","87.3","3.79","(X)","3.04","(X)",
"1400000US17031270900","Census Tract 2709, Cook County, Illinois","001","Total population","247","100.0","120","48.6","127","51.4","20","8.1","27","10.9","29","11.7","18","7.3","9","3.6","31","12.6","34","13.8","23","9.3","6","2.4","11","4.5","19","7.7","15","6.1","5","2.0","32.3","(X)","163","66.0","79","32.0","84","34.0","153","61.9","46","18.6","39","15.8","15","6.1","24","9.7","247","100.0","247","100.0","92","37.2","19","7.7","73","29.6","49","19.8","53","21.5","33","13.4","10","4.0","3","1.2","0","0.0","0","0.0","0","0.0","92","100.0","55","59.8","21","22.8","19","20.7","8","8.7","29","31.5","11","12.0","37","40.2","34","37.0","19","20.7","36","39.1","33","35.9","2.68","(X)","3.64","(X)","92","100.0","37","40.2","55","59.8","3.16","(X)","2.36","(X)",
"1400000US17031280300","Census Tract 2803, Cook County, Illinois","001","Total population","392","100.0","218","55.6","174","44.4","11","2.8","6","1.5","11","2.8","9","2.3","10","2.6","105","26.8","78","19.9","44","11.2","27","6.9","16","4.1","47","12.0","26","6.6","2","0.5","39.4","(X)","358","91.3","201","51.3","157","40.1","354","90.3","82","20.9","75","19.1","28","7.1","47","12.0","392","100.0","392","100.0","251","64.0","53","13.5","31","7.9","25","6.4","15","3.8","9","2.3","42","10.7","25","6.4","0","0.0","0","0.0","0","0.0","251","100.0","67","26.7","17","6.8","53","21.1","9","3.6","11","4.4","6","2.4","184","73.3","148","59.0","57","22.7","20","8.0","72","28.7","1.56","(X)","2.48","(X)","251","100.0","64","25.5","187","74.5","1.86","(X)","1.46","(X)",
"1400000US17031280700","Census Tract 2807, Cook County, Illinois","001","Total population","143","100.0","66","46.2","77","53.8","9","6.3","9","6.3","13","9.1","15","10.5","9","6.3","16","11.2","28","19.6","22","15.4","2","1.4","5","3.5","6","4.2","8","5.6","1","0.7","35.2","(X)","105","73.4","50","35.0","55","38.5","96","67.1","17","11.9","15","10.5","5","3.5","10","7.0","143","100.0","143","100.0","53","37.1","10","7.0","43","30.1","23","16.1","29","20.3","15","10.5","8","5.6","3","2.1","0","0.0","0","0.0","0","0.0","53","100.0","34","64.2","14","26.4","10","18.9","5","9.4","17","32.1","8","15.1","19","35.8","16","30.2","6","11.3","22","41.5","15","28.3","2.70","(X)","3.41","(X)","53","100.0","23","43.4","30","56.6","3.09","(X)","2.40","(X)",
"1400000US17031281100","Census Tract 2811, Cook County, Illinois","001","Total population","345","100.0","134","38.8","211","61.2","38","11.0","43","12.5","40","11.6","24","7.0","12","3.5","59","17.1","66","19.1","18","5.2","10","2.9","10","2.9","10","2.9","10","2.9","5","1.4","27.5","(X)","211","61.2","79","22.9","132","38.3","194","56.2","29","8.4","25","7.2","11","3.2","14","4.1","345","100.0","345","100.0","126","36.5","15","4.3","143","41.4","116","33.6","36","10.4","17","4.9","25","7.2","12","3.5","0","0.0","0","0.0","0","0.0","126","100.0","87","69.0","58","46.0","15","11.9","9","7.1","65","51.6","46","36.5","39","31.0","30","23.8","9","7.1","69","54.8","23","18.3","2.74","(X)","3.23","(X)","126","100.0","26","20.6","100","79.4","2.81","(X)","2.72","(X)",
"1400000US17031281400","Census Tract 2814, Cook County, Illinois","001","Total population","392","100.0","209","53.3","183","46.7","39","9.9","35","8.9","29","7.4","27","6.9","24","6.1","55","14.0","73","18.6","47","12.0","20","5.1","8","2.0","20","5.1","13","3.3","2","0.5","33.3","(X)","276","70.4","145","37.0","131","33.4","255","65.1","38","9.7","35","8.9","18","4.6","17","4.3","392","100.0","346","88.3","134","34.2","11","2.8","122","31.1","78","19.9","56","14.3","35","8.9","23","5.9","7","1.8","46","11.7","0","0.0","46","11.7","134","100.0","74","55.2","35","26.1","11","8.2","4","3.0","51","38.1","27","20.1","60","44.8","49","36.6","9","6.7","46","34.3","31","23.1","2.58","(X)","3.55","(X)","134","100.0","21","15.7","113","84.3","3.10","(X)","2.49","(X)",
"1400000US17031281500","Census Tract 2815, Cook County, Illinois","001","Total population","347","100.0","195","56.2","152","43.8","18","5.2","35","10.1","31","8.9","29","8.4","15","4.3","45","13.0","61","17.6","53","15.3","32","9.2","13","3.7","13","3.7","1","0.3","1","0.3","35.1","(X)","248","71.5","141","40.6","107","30.8","233","67.1","23","6.6","15","4.3","8","2.3","7","2.0","347","100.0","347","100.0","166","47.8","19","5.5","120","34.6","90","25.9","15","4.3","9","2.6","27","7.8","14","4.0","0","0.0","0","0.0","0","0.0","166","100.0","61","36.7","40","24.1","19","11.4","9","5.4","35","21.1","26","15.7","105","63.3","94","56.6","9","5.4","43","25.9","14","8.4","2.09","(X)","3.52","(X)","166","100.0","11","6.6","155","93.4","3.64","(X)","1.98","(X)",
"1400000US17031282100","Census Tract 2821, Cook County, Illinois","001","Total population","219","100.0","104","47.5","115","52.5","5","2.3","4","1.8","2","0.9","3","1.4","9","4.1","83","37.9","54","24.7","39","17.8","10","4.6","3","1.4","5","2.3","2","0.9","0","0.0","35.7","(X)","207","94.5","102","46.6","105","47.9","205","93.6","9","4.1","7","3.2","3","1.4","4","1.8","219","100.0","219","100.0","136","62.1","51","23.3","15","6.8","11","5.0","7","3.2","1","0.5","10","4.6","7","3.2","0","0.0","0","0.0","0","0.0","136","100.0","60","44.1","6","4.4","51","37.5","5","3.7","6","4.4","1","0.7","76","55.9","67","49.3","2","1.5","7","5.1","6","4.4","1.61","(X)","2.22","(X)","136","100.0","111","81.6","25","18.4","1.58","(X)","1.76","(X)",
"1400000US17031282600","Census Tract 2826, Cook County, Illinois","001","Total population","209","100.0","105","50.2","104","49.8","14","6.7","30","14.4","18","8.6","11","5.3","24","11.5","31","14.8","25","12.0","29","13.9","1","0.5","3","1.4","12","5.7","6","2.9","5","2.4","27.5","(X)","140","67.0","67","32.1","73","34.9","131","62.7","23","11.0","23","11.0","9","4.3","14","6.7","209","100.0","209","100.0","68","32.5","28","13.4","76","36.4","54","25.8","24","11.5","15","7.2","13","6.2","5","2.4","0","0.0","0","0.0","0","0.0","68","100.0","55","80.9","30","44.1","28","41.2","17","25.0","24","35.3","12","17.6","13","19.1","9","13.2","4","5.9","38","55.9","15","22.1","3.07","(X)","3.33","(X)","68","100.0","25","36.8","43","63.2","3.04","(X)","3.09","(X)",
"1400000US17031284000","Census Tract 2840, Cook County, Illinois","001","Total population","396","100.0","195","49.2","201","50.8","34","8.6","42","10.6","33","8.3","31","7.8","35","8.8","43","10.9","54","13.6","70","17.7","14","3.5","8","2.0","13","3.3","11","2.8","8","2.0","30.2","(X)","267","67.4","122","30.8","145","36.6","250","63.1","38","9.6","32","8.1","8","2.0","24","6.1","396","100.0","396","100.0","124","31.3","28","7.1","134","33.8","86","21.7","82","20.7","42","10.6","28","7.1","6","1.5","0","0.0","0","0.0","0","0.0","124","100.0","83","66.9","41","33.1","28","22.6","13","10.5","42","33.9","25","20.2","41","33.1","32","25.8","11","8.9","56","45.2","29","23.4","3.19","(X)","3.94","(X)","124","100.0","39","31.5","85","68.5","3.67","(X)","2.98","(X)",
"1400000US17031291800","Census Tract 2918, Cook County, Illinois","001","Total population","496","100.0","217","43.8","279","56.3","46","9.3","53","10.7","49","9.9","61","12.3","40","8.1","67","13.5","77","15.5","44","8.9","9","1.8","16","3.2","13","2.6","17","3.4","4","0.8","24.8","(X)","312","62.9","112","22.6","200","40.3","279","56.3","43","8.7","34","6.9","9","1.8","25","5.0","496","100.0","496","100.0","139","28.0","29","5.8","208","41.9","134","27.0","94","19.0","45","9.1","26","5.2","11","2.2","0","0.0","0","0.0","0","0.0","139","100.0","109","78.4","60","43.2","29","20.9","15","10.8","65","46.8","39","28.1","30","21.6","23","16.5","11","7.9","72","51.8","27","19.4","3.57","(X)","4.04","(X)","139","100.0","29","20.9","110","79.1","3.72","(X)","3.53","(X)",
"1400000US17031311200","Census Tract 3112, Cook County, Illinois","001","Total population","273","100.0","153","56.0","120","44.0","28","10.3","22","8.1","21","7.7","21","7.7","21","7.7","66","24.2","40","14.7","26","9.5","4","1.5","6","2.2","14","5.1","3","1.1","1","0.4","27.4","(X)","189","69.2","110","40.3","79","28.9","173","63.4","22","8.1","18","6.6","4","1.5","14","5.1","273","100.0","273","100.0","109","39.9","29","10.6","96","35.2","74","27.1","20","7.3","8","2.9","19","7.0","7","2.6","0","0.0","0","0.0","0","0.0","109","100.0","51","46.8","32","29.4","29","26.6","19","17.4","19","17.4","11","10.1","58","53.2","49","45.0","7","6.4","36","33.0","15","13.8","2.50","(X)","3.84","(X)","109","100.0","18","16.5","91","83.5","4.00","(X)","2.21","(X)",
"1400000US17031320300","Census Tract 3203, Cook County, Illinois","001","Total population","321","100.0","163","50.8","158","49.2","10","3.1","3","0.9","3","0.9","67","20.9","106","33.0","43","13.4","28","8.7","26","8.1","22","6.9","4","1.2","8","2.5","1","0.3","0","0.0","22.3","(X)","300","93.5","153","47.7","147","45.8","204","63.6","13","4.0","9","2.8","6","1.9","3","0.9","321","100.0","146","45.5","80","24.9","30","9.3","23","7.2","15","4.7","8","2.5","4","1.2","5","1.6","4","1.2","175","54.5","0","0.0","175","54.5","80","100.0","34","42.5","10","12.5","30","37.5","8","10.0","3","3.8","2","2.5","46","57.5","43","53.8","0","0.0","12","15.0","7","8.8","1.83","(X)","2.79","(X)","80","100.0","38","47.5","42","52.5","1.92","(X)","1.74","(X)",
"1400000US17031381300","Census Tract 3813, Cook County, Illinois","001","Total population","133","100.0","67","50.4","66","49.6","11","8.3","11","8.3","16","12.0","22","16.5","9","6.8","7","5.3","28","21.1","12","9.0","6","4.5","1","0.8","5","3.8","3","2.3","2","1.5","24.2","(X)","79","59.4","37","27.8","42","31.6","72","54.1","10","7.5","10","7.5","4","3.0","6","4.5","133","100.0","133","100.0","31","23.3","12","9.0","51","38.3","26","19.5","37","27.8","27","20.3","2","1.5","1","0.8","0","0.0","0","0.0","0","0.0","31","100.0","27","87.1","10","32.3","12","38.7","5","16.1","13","41.9","5","16.1","4","12.9","3","9.7","1","3.2","19","61.3","8","25.8","4.29","(X)","4.70","(X)","31","100.0","2","6.5","29","93.5","3.00","(X)","4.38","(X)",
"1400000US17031381600","Census Tract 3816, Cook County, Illinois","001","Total population","471","100.0","203","43.1","268","56.9","72","15.3","80","17.0","48","10.2","58","12.3","39","8.3","68","14.4","50","10.6","28","5.9","5","1.1","12","2.5","9","1.9","2","0.4","0","0.0","17.8","(X)","233","49.5","83","17.6","150","31.8","204","43.3","20","4.2","11","2.3","3","0.6","8","1.7","471","100.0","471","100.0","125","26.5","9","1.9","249","52.9","181","38.4","75","15.9","52","11.0","13","2.8","8","1.7","0","0.0","0","0.0","0","0.0","125","100.0","98","78.4","68","54.4","9","7.2","4","3.2","84","67.2","60","48.0","27","21.6","26","20.8","2","1.6","83","66.4","10","8.0","3.77","(X)","4.40","(X)","125","100.0","0","0.0","125","100.0","0.00","(X)","3.77","(X)",
"1400000US17031590100","Census Tract 5901, Cook County, Illinois","001","Total population","225","100.0","106","47.1","119","52.9","15","6.7","20","8.9","13","5.8","9","4.0","23","10.2","37","16.4","28","12.4","30","13.3","6","2.7","18","8.0","20","8.9","5","2.2","1","0.4","33.8","(X)","170","75.6","75","33.3","95","42.2","160","71.1","37","16.4","26","11.6","12","5.3","14","6.2","225","100.0","225","100.0","78","34.7","34","15.1","74","32.9","49","21.8","28","12.4","6","2.7","11","4.9","5","2.2","0","0.0","0","0.0","0","0.0","78","100.0","49","62.8","26","33.3","34","43.6","20","25.6","12","15.4","4","5.1","29","37.2","21","26.9","6","7.7","29","37.2","20","25.6","2.88","(X)","3.78","(X)","78","100.0","39","50.0","39","50.0","3.44","(X)","2.33","(X)",
"1400000US17031600100","Census Tract 6001, Cook County, Illinois","001","Total population","423","100.0","205","48.5","218","51.5","40","9.5","31","7.3","25","5.9","30","7.1","41","9.7","68","16.1","63","14.9","60","14.2","11","2.6","19","4.5","21","5.0","11","2.6","3","0.7","31.3","(X)","305","72.1","154","36.4","151","35.7","290","68.6","43","10.2","35","8.3","16","3.8","19","4.5","423","100.0","421","99.5","132","31.2","76","18.0","146","34.5","94","22.2","53","12.5","24","5.7","14","3.3","6","1.4","2","0.5","0","0.0","2","0.5","132","100.0","102","77.3","54","40.9","76","57.6","42","31.8","21","15.9","10","7.6","30","22.7","25","18.9","8","6.1","61","46.2","30","22.7","3.19","(X)","3.70","(X)","132","100.0","50","37.9","82","62.1","3.48","(X)","3.01","(X)",
"1400000US17031690200","Census Tract 6902, Cook County, Illinois","001","Total population","306","100.0","128","41.8","178","58.2","37","12.1","36","11.8","30","9.8","33","10.8","19","6.2","23","7.5","42","13.7","35","11.4","7","2.3","9","2.9","18","5.9","14","4.6","3","1.0","23.8","(X)","187","61.1","76","24.8","111","36.3","166","54.2","41","13.4","35","11.4","10","3.3","25","8.2","306","100.0","306","100.0","95","31.0","20","6.5","106","34.6","69","22.5","62","20.3","42","13.7","23","7.5","6","2.0","0","0.0","0","0.0","0","0.0","95","100.0","59","62.1","29","30.5","20","21.1","10","10.5","34","35.8","17","17.9","36","37.9","29","30.5","9","9.5","49","51.6","29","30.5","3.22","(X)","4.19","(X)","95","100.0","28","29.5","67","70.5","2.96","(X)","3.33","(X)",
